id,glb_comunas_corregimiento_id,descripcion,user_id,created_at,updated_at,deleted_at
561,25,VILLA DEL PILAR,1,,,
562,27,VILLA DEL RIO,1,,,
563,22,VILLA GLORIA,1,,,
564,19,VILLA ILUSI�N,1,,,
565,28,VILLA LEIDY,1,,,
566,28,VILLA LUCES,1,,,
567,25,VILLA MARIA,1,,,
568,20,VILLA MARLE II,1,,,
569,20,VILLA MARLEN I,1,,,
570,23,VILLA MARTHA,1,,,
571,29,VILLA MERY,1,,,
572,25,VILLA NATALIA,1,,,
573,19,VILLA PINZ�N,1,,,
574,25,VILLA PRADO,1,,,
575,13,VILLA RESTREPO,1,,,
576,23,VILLA SALOME,1,,,
577,23,VILLA SUIZA,1,,,
578,20,VILLA TERESA,1,,,
579,19,VILLA VALENTINA,1,,,
580,23,VILLA VANESA,1,,,
581,25,VILLAMARINA-PICALENA,1,,,
582,24,VILLAVICENTINO,1,,,
583,18,VI�A DE CALAMBEO,1,,,
584,19,VIVEROS,1,,,
585,9,YATAY,1,,,
586,24,YERBABUENA,1,,,
587,28,YULDAIMA,1,,,
